iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
206,0.5955,17.1194,1.9658,nan,nan,nan,nan,2.878e+05
207,0.5536,20.9080,2.6157,nan,nan,nan,nan,2.882e+05
208,0.5953,20.5281,2.9695,nan,nan,nan,nan,2.887e+05
209,0.5642,19.6556,2.7243,nan,nan,nan,nan,2.891e+05
210,0.5580,21.6718,3.0324,nan,nan,nan,nan,2.895e+05
211,0.5609,22.0589,3.4251,nan,nan,nan,nan,2.899e+05
212,0.5465,22.9278,3.7142,nan,nan,nan,nan,2.903e+05
213,0.5436,23.8911,3.9214,nan,nan,nan,nan,2.907e+05
214,0.5403,24.6282,4.1867,nan,nan,nan,nan,2.911e+05
215,0.5292,25.8192,4.7386,nan,nan,nan,nan,2.915e+05
216,0.5277,26.6264,5.1538,nan,nan,nan,nan,2.918e+05
217,0.5226,26.9252,5.2938,nan,nan,nan,nan,2.922e+05
218,0.5283,27.3810,5.1839,nan,nan,nan,nan,2.926e+05
219,0.5251,28.0272,5.8758,nan,nan,nan,nan,2.930e+05
220,0.5324,28.2650,5.5787,nan,nan,nan,nan,2.933e+05
221,0.5322,28.7950,5.3237,nan,nan,nan,nan,2.937e+05
222,0.5308,29.8095,5.9933,nan,nan,nan,nan,2.941e+05
223,0.5254,30.6471,6.1303,nan,nan,nan,nan,2.944e+05
224,0.5297,31.1093,6.6556,nan,nan,nan,nan,2.948e+05
225,0.5330,31.3049,6.8449,0.4660,399.91,0.0004,0.0583,2.951e+05
226,0.4069,37.3111,0.9630,nan,nan,nan,nan,2.867e+05
227,0.4307,37.8366,3.1234,nan,nan,nan,nan,2.871e+05
228,0.5013,36.4820,6.5061,nan,nan,nan,nan,2.874e+05
229,0.5462,34.0225,8.1948,nan,nan,nan,nan,2.878e+05
230,0.5496,32.8255,8.8878,nan,nan,nan,nan,2.881e+05
231,0.5461,32.9112,8.2790,nan,nan,nan,nan,2.885e+05
232,0.5490,33.9930,8.5392,nan,nan,nan,nan,2.889e+05
233,0.5485,34.8592,8.5470,nan,nan,nan,nan,2.892e+05
234,0.5536,35.9808,8.2346,nan,nan,nan,nan,2.896e+05
