iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
110,-0.8600,-7.8854,0.1713,nan,nan,nan,nan,2.458e+05
111,-0.8291,-7.7320,0.1756,nan,nan,nan,nan,2.464e+05
112,-0.7998,-7.6021,0.1809,nan,nan,nan,nan,2.470e+05
113,-0.7750,-7.4563,0.1683,nan,nan,nan,nan,2.476e+05
114,-0.7434,-7.3261,0.1605,nan,nan,nan,nan,2.482e+05
115,-0.7209,-7.2026,0.1509,nan,nan,nan,nan,2.488e+05
116,-0.6934,-7.0881,0.1504,nan,nan,nan,nan,2.494e+05
117,-0.6669,-6.9486,0.1406,nan,nan,nan,nan,2.499e+05
118,-0.6413,-6.8219,0.1397,nan,nan,nan,nan,2.505e+05
119,-0.6178,-6.6915,0.1353,nan,nan,nan,nan,2.511e+05
120,-0.5941,-6.5849,0.1298,nan,nan,nan,nan,2.517e+05
121,-0.5678,-6.4546,0.1264,nan,nan,nan,nan,2.522e+05
122,-0.5471,-6.3358,0.1263,nan,nan,nan,nan,2.528e+05
123,-0.5268,-6.2192,0.1147,nan,nan,nan,nan,2.533e+05
124,-0.5079,-6.0910,0.1222,nan,nan,nan,nan,2.539e+05
125,-0.4854,-5.9770,0.1182,0.0668,13.77,1.0000,0.2430,2.544e+05
126,-0.4294,-5.7991,0.1165,nan,nan,nan,nan,2.441e+05
127,-0.4181,-5.7599,0.1006,nan,nan,nan,nan,2.447e+05
128,-0.4320,-5.6468,0.1113,nan,nan,nan,nan,2.453e+05
129,-0.4246,-5.5191,0.1123,nan,nan,nan,nan,2.459e+05
130,-0.3924,-5.4094,0.1165,nan,nan,nan,nan,2.465e+05
131,-0.3671,-5.3405,0.1102,nan,nan,nan,nan,2.471e+05
132,-0.3498,-5.2373,0.1063,nan,nan,nan,nan,2.476e+05
133,-0.3361,-5.1303,0.0983,nan,nan,nan,nan,2.482e+05
